Nub,Genotype_Original,Genotype,Frag_GE,Species,Tank,Treatment,Timepoint,TreatTime,GE_sample,Surface_Area_cm2,red_chan_avg_t0,red_chan_avg_t1,red_chan_avg_t3,red_chan_avg_t4,pam_avg_t0,pam_avg_t1,pam_avg_t2,pam_avg_t3,pam_avg_t4,bw_avg_t0,bw_avg_t1,bw_avg_t2,bw_avg_t3,bw_avg_t4,GE_RawReads,GE_TrimmedReads,GE_HoloMappingEfficiency(%),GE_HolobiontMapCounts,GE_HostCounts,GE_HostMapping Efficiency(%),GE_SymbiontCounts,GE_SymbiontMappingEfficiency(%),GE_HostGenes,GE_SymbiontGenes,gross_photo_t3,gross_photo_t4,net_photo_t3,net_photo_t4,resp_t3,resp_t4,PR_t3,PR_t4
KB13.1,KB,KB,KB13-1,O. franksi,6B,Control,Preheat,Control_Preheat,,4.40051069,42.9,72.9,72.6,,0.57633333,0.58666667,0.595,0.57833333,,9.53,9.65,9.77,9.85333333,,,,,,,,,,,,13.1367723,,8.19638533,,4.94038698,,2.659057348,
KB13.2,KB,KB,KB13-2,O. franksi,8A,DTV,Preheat,DTV_Preheat,Preheat,4.23543129,42.2,83.3,62.6,,0.57166667,0.599,0.61366667,0.59766667,,7.54,7.67,7.74,7.76,,6665162,2258501,82.7,1867953,1066048,47.2015731,801905,35.5060724,15300,2205,,,,,,,,
KB19.1,KB,KB,KB19-1,O. franksi,6A,Control,Preheat,Control_Preheat,,3.73893479,29.4,62.1,29.8,,0.56233333,0.59033333,0.572,0.58833333,,7.45,7.58,7.66333333,7.70333333,,,,,,,,,,,,7.63030192,,5.15930716,,2.47099476,,3.087947431,
KB19.2,KB,KB,KB19-2,O. franksi,8C,DTV,Postheat,DTV_Postheat,,3.65963092,45.1,94.5,44.3,55,0.54266667,0.601,0.61766667,0.59566667,0.55566667,9.05,9.28,9.66,9.70333333,9.74,,,,,,,,,,,,,,,,,,
KB22.1,KB,KB,KB22-1,O. franksi,6C,Control,Postheat,Control_Postheat,,5.31349015,52.5,107.5,79.8,68.9,0.55166667,0.57166667,0.58466667,0.57666667,0.54833333,8.35,8.48,8.58,8.64666667,8.64666667,,,,,,,,,,,,9.76838956,,6.24805238,,3.52033717,,2.774844877
KB22.2,KB,KB,KB22-2,O. franksi,8A,DTV,Preheat,DTV_Preheat,,11.7122311,71.8,84.8,70.6,,0.54833333,0.63266667,0.60166667,0.589,,8.83,8.98333333,9.12,9.14,,,,,,,,,,,,NA,,NA,,NA,,,
KB28.1,KB,KB,KB28-1,O. franksi,6A,Control,Preheat,Control_Preheat,Preheat,8.81027849,47.4,107.1,74.3,,0.48533333,0.55166667,0.59166667,0.55933333,,8.72666667,8.86,8.97,8.94333333,,6513247,2364810,85.7,2027233,983062,41.5704433,1044171,44.154541,15235,2266,,,,,,,,
KB28.2,KB,KB,KB28-2,O. franksi,8B,DTV,Postheat,DTV_Postheat,,8.02626033,62.8,121.2,72.5,71.7,0.56133333,0.635,0.61133333,0.583,0.513,9.34333333,9.48,9.58,9.64,9.66,,,,,,,,,,,,5.07123405,,2.60703422,,2.46419983,,2.057963802
KB39.1,KB,KB,KB39-1,O. franksi,6B,Control,Postheat,Control_Postheat,Postheat,4.99415599,42.5,69.9,46.4,45.9,0.536,0.601,0.60533333,0.57533333,0.53,9.74666667,9.9,10.0666667,10.1233333,10.1433333,6276484,808749,84.8,685838,452141,55.9062206,233697,28.8961099,12605,1541,,,,,,,,
KB39.2,KB,KB,KB39-2,O. franksi,8C,DTV,Postheat,DTV_Postheat,Postheat,6.11532743,55.2,59.7,34.8,51.4,0.56533333,0.60333333,0.62966667,0.61433333,0.58533333,9.51666667,9.73,9.84,9.88,9.88333333,5905208,2027863,80.9,1639945,1207688,59.5547135,432257,21.3158877,15387,1972,,,,,,,,
