treatment,tank,date,temperature,salinity,nitrate,phosphate,calcium,alkalinity,magnesium,
,Sys 8,11/30/20,28.4,35.3,,,,,,
5% wc for salinity,Sys 6,12/1/20,28.5,34.7,,,,,,
,Sys 8,12/1/20,28.2,34.9,,,,,,
,Sys 6,12/2/20,29.1,35.1,,,,,,
,Sys 8,12/2/20,29.2,35.2,,,,,,
,Sys 6,12/3/20,29.4,34.2,,,,,,
,Sys 8,12/3/20,29.1,34.2,,,,,,
moving corals to sys 8,Sys 6,12/4/20,30.3,35.1,0,0,425,8.6,1380,
,Sys 8,12/4/20,30,35.1,0,0,435,8.3,1410,
,Sys heat,12/7/20,31.2,34.8,,,,,,
"1 calc, 1 bicarb",Sys heat,12/8/20,30.9,34.6,,,,,,
,Sys heat,12/9/20,30.9,35.5,,,,,,
30% wc,Sys heat,12/10/20,31.2,35.4,,,,,,
,Sys heat,12/11/20,31.4,34.5,,,,,,
,Sys heat,12/14/20,31.3,33.9,,,,,,
,Sys heat,12/15/20,31.2,33.3,,,,,,
,Sys heat,12/16/20,30.4,34.1,,,,,,
,Sys heat,12/17/20,31.4,32.7,,,,,,
corals out!,Sys heat,12/18/20,31.4,33.4,1.5,0,420,8.4,1290,
